id,neighbor_edges
0,"[0, 37, 38, 748, 204, 205, 751]"
1,"[704, 1, 2, 35, 36, 229, 742, 228, 5, 739, 206]"
2,"[33, 34, 6, 7, 230, 9, 841, 743, 248, 249, 828, 767]"
3,"[28, 717, 15, 16, 20, 278, 439, 505, 279, 29]"
4,"[321, 338, 339, 1139, 309, 308, 600, 25, 26, 62]"
5,"[192, 193, 194, 1639, 201, 202, 203, 1644, 371, 89, 90]"
6,"[226, 227, 739, 485, 742, 228, 40, 41, 42, 206, 207, 209, 85, 86, 88]"
7,"[230, 231, 743, 828, 44, 45, 817, 83, 84, 1715, 246, 247, 248, 796]"
8,"[1730, 1803, 76, 75, 77, 271, 1422, 1727, 114, 113, 52, 53, 54, 91, 382, 255]"
9,"[1730, 382, 75, 111, 112, 272, 400, 271, 1727, 1429, 54, 113, 91, 92, 253, 254, 255]"
10,"[257, 1029, 1032, 270, 271, 272, 53, 54, 55, 1725, 1727, 1728, 1729, 1730, 1732, 74, 75, 76, 1618, 981, 984, 986, 92, 1633, 1636, 112, 114, 254, 255]"
11,"[642, 1795, 283, 284, 285, 1189, 299, 300, 303, 58, 59, 61, 64, 65, 1221, 70, 1622, 995, 100, 99, 621, 1647]"
12,"[320, 321, 64, 322, 1189, 1389, 621, 337, 338, 61, 62]"
13,"[194, 195, 1279, 196, 199, 200, 201, 371, 116, 214, 153, 154, 223]"
14,"[1290, 1706, 1741, 1744, 115, 116, 213, 214, 118, 152, 153, 1309, 222, 223]"
15,"[359, 234, 235, 1741, 366, 237, 240, 241, 1744, 243, 148, 149, 118, 119, 152, 1270, 1021, 1342]"
16,"[128, 259, 260, 261, 140, 269, 141, 268, 1520, 951, 1367, 1498, 125, 126]"
17,"[289, 130, 131, 1247, 136, 137, 298, 1163, 297, 1206, 1243, 1628, 286, 287]"
18,"[323, 324, 133, 134, 1767, 326, 335, 336, 1212]"
19,"[1279, 196, 197, 199, 155, 190, 191]"
20,"[1669, 219, 1275, 156, 217, 218, 155, 188, 189, 190]"
21,"[1345, 1291, 237, 238, 240, 1021, 1270, 184, 185, 187, 157, 158]"
22,"[354, 163, 452, 164, 262, 263, 165, 265, 1541, 177, 178, 179, 1717]"
23,"[291, 292, 293, 166, 167, 168, 173, 174, 175, 311, 312, 345, 349, 1438]"
24,"[169, 170, 331, 332, 971, 172, 333, 1305]"
25,"[292, 167, 168, 169, 971, 172, 173, 174, 310, 311, 1720]"
26,"[1441, 290, 291, 292, 293, 934, 167, 168, 296, 173, 174, 311, 312, 968, 344, 345, 346, 348, 349, 735, 1005]"
27,"[353, 354, 261, 262, 264, 265, 1676, 973, 268, 1714, 1717, 1718, 951, 1695]"
28,"[328, 329, 968, 331, 1004, 333, 334, 1005, 1305, 346, 347, 348]"
29,"[193, 194, 195, 355, 154, 200, 201, 202, 370, 371, 90]"
30,"[224, 355, 356, 357, 1132, 1712, 369, 210, 211, 116, 368, 214, 1745, 370, 153, 223]"
31,"[480, 770, 1318, 359, 358, 233, 234, 1577, 365, 366, 367, 242, 243, 245, 1336, 794]"
32,"[1474, 803, 361, 362, 363, 1778, 786, 372, 373, 1779, 376, 377, 378]"
33,"[1478, 487, 1802, 47, 48, 80, 79, 50, 82, 379, 380, 798]"
34,"[1120, 1050, 146, 147, 1333, 374, 375, 120, 121, 122, 1339]"
35,"[704, 1, 0, 706, 740, 37, 751, 703]"
36,"[0, 2, 36, 229, 38, 747, 205, 750, 751, 752]"
37,"[737, 2, 3, 36, 229, 738]"
38,"[737, 3, 4, 760, 761, 762, 764]"
39,"[768, 35, 5, 6, 753, 756, 765, 767]"
40,"[34, 4, 5, 7, 249, 762]"
41,"[1419, 14, 15, 437, 853, 439, 440, 30]"
42,"[837, 10, 11, 844, 13, 846, 1266, 819, 820, 31]"
43,"[832, 33, 835, 837, 838, 841, 9, 10]"
44,"[32, 833, 836, 839, 8, 841, 9, 11, 842, 820, 1142]"
45,"[416, 1157, 1419, 844, 13, 14, 843, 12, 849, 852, 30]"
46,"[34, 834, 7, 8, 1141, 1142, 1144, 249]"
47,"[32, 1157, 1158, 11, 12, 847, 850, 820]"
48,"[1417, 1419, 1420, 844, 14, 13, 16, 851, 854, 279, 29, 31]"
49,"[563, 1140, 885, 23, 24, 441, 442, 925, 894]"
50,"[512, 887, 881, 19, 20, 22, 503, 505, 506, 27, 509]"
51,"[547, 550, 561, 563, 23, 564, 22, 887, 27]"
52,"[676, 683, 684, 17, 18, 698, 859]"
53,"[715, 718, 16, 17, 279, 857, 859, 860, 29]"
54,"[869, 872, 684, 881, 18, 19, 882]"
55,"[545, 548, 339, 888, 21, 22, 887, 309, 26, 923]"
56,"[921, 28, 20, 21, 505, 570, 923, 924]"
57,"[441, 1139, 1140, 885, 24, 25, 442, 925, 894]"
58,"[545, 923, 548, 339, 309, 21, 888, 26, 27]"
59,"[512, 887, 881, 19, 22, 503, 506, 27, 28, 509]"
