id,neighbor_edges,neighbor_vers
0,"[38, 205, 37, 204, 748, 0, 751]","[65, 181, 1, 182, 446, 0]"
1,"[2, 36, 229, 1, 704, 35, 742, 228, 5, 206, 739]","[35, 64, 198, 36, 433, 2, 445, 6, 38, 1]"
2,"[7, 34, 249, 6, 767, 33, 828, 248, 9, 841, 230, 743]","[39, 63, 210, 40, 448, 62, 475, 7, 46, 477, 2, 445]"
3,"[16, 29, 279, 15, 439, 28, 278, 717, 505, 20]","[41, 59, 227, 48, 324, 58, 228, 437, 356, 54]"
4,"[26, 309, 339, 25, 1139, 308, 600, 62, 321, 338]","[57, 246, 12, 49, 328, 251, 390, 82, 259, 272]"
5,"[90, 193, 202, 89, 1639, 192, 194, 201, 371, 203, 1644]","[102, 177, 29, 103, 701, 0, 5, 13, 294]"
6,"[41, 86, 207, 227, 40, 85, 206, 739, 485, 226, 42, 88, 209, 742, 228]","[67, 100, 183, 196, 66, 7, 1, 433, 348, 197, 6, 101, 184, 445]"
7,"[45, 84, 231, 247, 44, 817, 83, 1715, 230, 743, 246, 796, 828, 248]","[68, 99, 199, 207, 69, 470, 97, 475, 2, 445, 209, 453, 7]"
8,"[53, 76, 114, 52, 1803, 54, 75, 255, 271, 1727, 1730, 113, 382, 77, 1422, 91]","[76, 10, 123, 73, 302, 8, 92, 9, 224, 520, 535, 301, 653]"
9,"[92, 112, 254, 272, 91, 111, 400, 253, 1429, 54, 75, 255, 271, 1727, 1730, 113, 382]","[104, 113, 213, 10, 8, 121, 310, 214, 301, 92, 9, 224, 520, 535]"
10,"[54, 75, 255, 271, 1727, 1730, 53, 76, 114, 74, 1636, 92, 112, 254, 272, 270, 1618, 981, 984, 1725, 1728, 1029, 1032, 1729, 1732, 55, 1633, 986, 257]","[8, 92, 9, 224, 520, 535, 76, 10, 123, 85, 342, 104, 113, 213, 16, 682, 516, 521, 517, 536, 524, 381, 683, 522, 215]"
11,"[59, 65, 100, 284, 300, 995, 58, 64, 621, 99, 1647, 1795, 283, 1221, 299, 61, 1189, 1622, 70, 285, 303, 642]","[77, 84, 111, 234, 244, 526, 80, 83, 394, 107, 613, 488, 231, 585, 17, 81, 595, 340, 89, 11, 249, 403]"
12,"[62, 321, 338, 61, 1189, 320, 1389, 337, 64, 621, 322]","[82, 259, 272, 81, 595, 258, 648, 18, 83, 394, 12]"
13,"[154, 195, 200, 116, 153, 214, 223, 194, 201, 371, 199, 1279, 196]","[14, 29, 179, 124, 151, 187, 194, 5, 13, 294, 180, 620]"
14,"[116, 153, 214, 223, 115, 1290, 1744, 152, 213, 1706, 222, 1309, 118, 1741]","[124, 151, 187, 194, 13, 626, 634, 150, 188, 717, 195, 630, 125, 631]"
15,"[119, 149, 235, 241, 118, 1741, 148, 1342, 234, 243, 359, 366, 1021, 240, 1744, 152, 237, 1270]","[126, 148, 31, 204, 125, 631, 34, 640, 200, 206, 285, 289, 508, 205, 634, 150, 202, 574]"
16,"[126, 141, 260, 269, 125, 1367, 1520, 140, 259, 1498, 268, 128, 261, 951]","[130, 141, 217, 223, 131, 643, 682, 142, 218, 675, 222, 134, 16, 505]"
