id,neighbor_edges,neighbor_vers
0,"[38, 205, 37, 1815, 204, 748, 2, 36, 229, 0, 751, 1830, 203, 1644, 1893, 747, 750, 752]","[65, 181, 1, 36, 182, 446, 35, 64, 198, 0, 5, 701, 177, 434]"
1,"[2, 36, 229, 1, 704, 35, 1816, 228, 742, 1897, 0, 751, 1830, 703, 706, 740, 7, 34, 249, 5, 1829, 41, 86, 207, 227, 741, 744, 766, 206, 739, 1904]","[35, 64, 198, 36, 433, 2, 40, 6, 445, 183, 0, 446, 65, 434, 39, 63, 210, 38, 67, 100, 196, 199, 448, 1]"
2,"[7, 34, 249, 6, 767, 33, 1818, 248, 828, 1905, 5, 1829, 753, 756, 765, 768, 32, 1817, 9, 841, 1828, 45, 84, 231, 247, 827, 830, 1716, 230, 743, 1910]","[39, 63, 210, 40, 448, 62, 44, 7, 475, 199, 38, 64, 449, 447, 445, 61, 42, 46, 477, 68, 99, 207, 349, 2]"
3,"[16, 29, 279, 15, 439, 28, 1821, 278, 717, 14, 1419, 1825, 437, 440, 853, 27, 1822, 20, 505, 1824, 277, 726, 715, 718, 857, 860]","[41, 59, 227, 48, 324, 58, 50, 228, 437, 45, 480, 60, 327, 4, 55, 54, 356, 226, 442, 422, 53]"
4,"[26, 309, 339, 25, 1139, 308, 600, 62, 321, 338, 24, 442, 441, 885, 894, 925, 1140, 307, 1784, 1919, 599, 602, 607, 610, 61, 1189, 1842, 320, 1389, 337, 1931]","[57, 246, 12, 49, 328, 251, 390, 82, 259, 272, 51, 375, 489, 367, 247, 393, 233, 392, 255, 81, 595, 84, 258, 648, 18, 263]"
5,"[90, 193, 202, 89, 1639, 192, 1896, 194, 201, 371, 88, 1831, 1637, 1640, 1643, 1646, 38, 205, 203, 1644, 1893, 154, 195, 200, 370, 1945]","[102, 177, 29, 103, 701, 0, 182, 5, 13, 294, 101, 67, 702, 704, 65, 181, 14, 179, 30, 284]"
6,"[41, 86, 207, 227, 40, 1852, 85, 1832, 206, 739, 1904, 226, 485, 1898, 39, 1642, 88, 1831, 45, 84, 231, 247, 42, 1851, 2, 36, 229, 703, 706, 740, 228, 742, 1897, 225, 1137, 483, 486, 1133, 1136, 209, 1903]","[67, 100, 183, 196, 66, 103, 7, 70, 1, 433, 198, 197, 348, 186, 5, 703, 101, 68, 99, 199, 207, 6, 35, 64, 434, 445, 30, 579, 347, 69, 184]"
7,"[45, 84, 231, 247, 44, 817, 83, 1715, 230, 743, 1910, 246, 796, 43, 1135, 813, 816, 818, 82, 487, 1833, 827, 830, 1716, 7, 34, 249, 741, 744, 766, 248, 828, 1905, 245, 1577, 1906, 773, 776, 795]","[68, 99, 199, 207, 69, 470, 97, 475, 2, 445, 210, 209, 453, 70, 348, 347, 201, 98, 349, 71, 39, 63, 198, 448, 7, 208, 459, 200, 456]"
8,"[53, 76, 114, 52, 1803, 1847, 54, 75, 255, 271, 1727, 1730, 113, 382, 1853, 51, 385, 1849, 386, 387, 1586, 1722, 1804, 77, 1422, 1836, 74, 1636, 1839, 92, 112, 254, 272, 270, 1618, 1912, 981, 984, 1725, 1728, 1029, 1032, 1729, 1732, 381, 384, 1427, 1430, 91, 1858]","[76, 10, 123, 73, 302, 94, 8, 92, 9, 224, 520, 535, 301, 104, 74, 96, 303, 695, 697, 653, 85, 342, 79, 113, 213, 16, 682, 216, 516, 521, 517, 536, 524, 381, 300, 654]"
9,"[92, 112, 254, 272, 91, 1858, 111, 400, 253, 1429, 54, 75, 255, 271, 1727, 1730, 53, 76, 114, 113, 382, 1853, 110, 1425, 399, 405, 408, 1689, 252, 1754, 1916, 381, 384, 1427, 1430, 74, 1636, 1839, 270, 1618, 1912, 981, 984, 1725, 1728, 1029, 1032, 1729, 1732]","[104, 113, 213, 10, 8, 123, 121, 310, 214, 301, 92, 9, 224, 520, 535, 76, 112, 312, 225, 712, 211, 650, 230, 300, 654, 85, 342, 79, 16, 682, 216, 516, 521, 517, 536, 524, 381]"
10,"[54, 75, 255, 271, 1727, 1730, 53, 76, 114, 74, 1636, 1839, 92, 112, 254, 272, 270, 1618, 1912, 981, 984, 1725, 1728, 1029, 1032, 1729, 1732, 52, 1803, 1847, 113, 382, 1853, 73, 990, 467, 470, 1635, 55, 1633, 1845, 91, 1858, 111, 400, 253, 1429, 126, 141, 260, 269, 1519, 1522, 1617, 1620, 257, 986, 1915, 976, 979, 982, 983, 977, 1469, 1723, 1726, 1030, 991, 994, 1031, 581, 584, 1398, 1731]","[8, 92, 9, 224, 520, 535, 76, 10, 123, 85, 342, 79, 104, 113, 213, 16, 682, 216, 516, 521, 517, 536, 524, 381, 73, 302, 94, 301, 88, 339, 344, 683, 121, 310, 214, 130, 141, 217, 223, 337, 215, 522, 519, 518, 697, 525, 379, 108, 541]"
11,"[59, 65, 100, 284, 300, 58, 995, 1844, 64, 621, 1841, 99, 1647, 283, 1795, 1927, 299, 1221, 1921, 57, 1771, 1846, 996, 1627, 1630, 70, 1622, 1837, 63, 615, 611, 614, 619, 622, 61, 1189, 1842, 98, 465, 1857, 1239, 1242, 1648, 282, 902, 1928, 891, 1793, 1796, 303, 642, 1920, 131, 137, 287, 298, 1161, 1222, 285, 1926]","[77, 84, 111, 234, 244, 80, 526, 91, 83, 394, 82, 107, 613, 231, 488, 248, 17, 585, 236, 78, 700, 93, 235, 89, 340, 12, 395, 383, 397, 81, 595, 110, 338, 122, 612, 87, 232, 486, 250, 249, 403, 133, 138, 243, 584, 11]"
12,"[62, 321, 338, 61, 1189, 1842, 320, 1389, 337, 1931, 60, 1184, 1187, 1190, 1196, 64, 621, 1841, 319, 1377, 1387, 1390, 1395, 134, 324, 336, 322, 1936]","[82, 259, 272, 81, 595, 84, 258, 648, 18, 263, 11, 594, 596, 83, 394, 257, 646, 609, 645, 137, 262, 271, 12]"
13,"[154, 195, 200, 116, 153, 214, 223, 194, 201, 371, 199, 1279, 1894, 115, 1290, 152, 1744, 1859, 213, 1706, 222, 1309, 90, 193, 202, 370, 1945, 198, 1673, 1277, 1280, 1285, 196, 1895]","[14, 29, 179, 124, 151, 187, 194, 5, 13, 294, 180, 620, 178, 626, 150, 634, 126, 188, 717, 195, 630, 102, 177, 30, 284, 19, 623, 621, 622]"
14,"[116, 153, 214, 223, 115, 1290, 152, 1744, 1859, 213, 1706, 222, 1309, 154, 195, 200, 1289, 151, 1321, 1312, 1743, 1746, 118, 1741, 1872, 212, 1708, 1705, 221, 1666, 1899, 1307, 1310, 1664]","[124, 151, 187, 194, 13, 626, 150, 634, 126, 188, 717, 195, 630, 14, 29, 179, 149, 633, 286, 125, 631, 30, 718, 192, 708, 190]"
15,"[119, 149, 235, 241, 118, 1741, 1872, 148, 1342, 234, 243, 359, 366, 240, 1021, 1907, 117, 1663, 1308, 1739, 1742, 152, 1744, 1859, 121, 147, 375, 1335, 1338, 1341, 1344, 233, 480, 1909, 242, 1336, 358, 1318, 1950, 365, 770, 239, 1346, 954, 1022, 1102, 237, 1270, 1908]","[126, 148, 31, 204, 125, 631, 151, 34, 640, 200, 206, 285, 289, 205, 508, 203, 14, 630, 708, 150, 634, 127, 145, 296, 641, 287, 201, 346, 209, 15, 286, 632, 292, 290, 458, 21, 171, 167, 567, 202, 574]"
