id,start_ver,end_ver,num,days,lambda,total_num,CDF
2,27,105,1534,39,0.075196078,1534,0.001730205
1,27,224,1516,39,0.074313725,3050,0.003440108
4,27,310,1487,39,0.072892157,4537,0.005117302
3,314,473,1406,39,0.068921569,5943,0.006703136
5,27,380,1298,39,0.063627451,7241,0.008167155
0,105,27,1266,39,0.062058824,8507,0.009595082
8,27,582,1160,39,0.056862745,9667,0.010903451
6,27,314,1140,39,0.055882353,10807,0.012189262
7,335,27,1116,39,0.054705882,11923,0.013448004
14,27,16,1083,39,0.053088235,13006,0.014669524
34,230,27,1001,39,0.049068627,14007,0.015798556
20,27,331,990,39,0.048529412,14997,0.016915182
25,27,230,984,39,0.048235294,15981,0.018025039
16,27,335,980,39,0.048039216,16961,0.019130386
24,27,32,966,39,0.047352941,17927,0.020219941
21,27,9,953,39,0.046715686,18880,0.021294834
10,314,27,948,39,0.046470588,19828,0.022364088
15,335,105,871,39,0.042696078,20699,0.023346492
17,314,224,871,39,0.042696078,21570,0.024328897
26,27,655,856,39,0.041960784,22426,0.025294383
94,348,27,821,39,0.040245098,23247,0.026220393
28,77,27,817,39,0.04004902,24064,0.02714189
23,105,380,815,39,0.03995098,24879,0.028061132
18,105,582,805,39,0.039460784,25684,0.028969095
30,314,380,803,39,0.039362745,26487,0.029874803
37,105,224,792,39,0.038823529,27279,0.030768103
92,80,380,788,39,0.038627451,28067,0.031656891
33,27,473,785,39,0.038480392,28852,0.032542296
47,224,27,784,39,0.038431373,29636,0.033426573
13,105,314,780,39,0.038235294,30416,0.034306339
11,473,314,771,39,0.037794118,31187,0.035175953
66,27,367,764,39,0.03745098,31951,0.036037672
27,314,105,755,39,0.037009804,32706,0.03688924
45,27,353,755,39,0.037009804,33461,0.037740808
9,27,80,746,39,0.036568627,34207,0.038582224
29,335,582,719,39,0.035245098,34926,0.039393187
59,27,302,716,39,0.035098039,35642,0.040200767
19,473,582,709,39,0.034754902,36351,0.041000451
58,27,26,700,39,0.034313725,37051,0.041789984
53,27,10,699,39,0.034264706,37750,0.042578389
61,27,558,699,39,0.034264706,38449,0.043366794
62,27,219,695,39,0.034068627,39144,0.044150688
54,27,311,694,39,0.034019608,39838,0.044933454
