id,pair_id,class,description,block,length,head_ver,tail_ver,polyline
0,,0,route 0's segment,[0],646.1183758155518,0,36,"[[110.26626, 20.022994], [110.266411, 20.02293], [110.269219, 20.022869], [110.270048, 20.022795], [110.270369, 20.022743], [110.270482, 20.022721], [110.271128, 20.022548], [110.272023, 20.022244], [110.272205, 20.022183], [110.27231719605783, 20.022144165451927]]"
1,,0,route 0's segment,[0],886.4816791349184,36,35,"[[110.27231719605783, 20.022144165451927], [110.273898, 20.021597], [110.275013, 20.021233], [110.275981, 20.020959], [110.276558, 20.020816], [110.277682, 20.020582], [110.280152, 20.020091], [110.2804800151605, 20.020020865179497]]"
2,,0,route 0's segment,[0],225.3193333570721,35,1,"[[110.2804800151605, 20.020020865179497], [110.28076, 20.019961], [110.281267, 20.019852], [110.282036, 20.019701], [110.282595, 20.019632]]"
3,,0,route 0's segment,[1],169.71039837554937,1,37,"[[110.282595, 20.019632], [110.282639, 20.019566], [110.283815, 20.019171], [110.28409131671577, 20.01908050813756]]"
4,,0,route 0's segment,[1],388.96321778532587,37,38,"[[110.28409131671577, 20.01908050813756], [110.284557, 20.018928], [110.285052, 20.018785], [110.285651, 20.01865], [110.285747, 20.018633], [110.286246, 20.018563], [110.28648, 20.018563], [110.286849, 20.018585], [110.287118, 20.01862], [110.287439, 20.018702], [110.28771244411568, 20.018779992651556]]"
5,,0,route 0's segment,[1],140.3777706562019,38,40,"[[110.28771244411568, 20.018779992651556], [110.28773, 20.018785], [110.288008, 20.018889], [110.28839, 20.019063], [110.288893, 20.01931], [110.288923, 20.019325]]"
6,,0,route 0's segment,[1],277.7521796888523,40,39,"[[110.288923, 20.019325], [110.288997, 20.019362], [110.289423, 20.019566], [110.289926, 20.019813], [110.29026, 20.019952], [110.290829, 20.020135], [110.291033, 20.020195], [110.29136730000006, 20.020287652434476]]"
7,,0,route 0's segment,[1],325.63458143053225,39,2,"[[110.29136730000006, 20.020287652434476], [110.291567, 20.020343], [110.292383, 20.020538], [110.292678, 20.020612], [110.293073, 20.020703], [110.294359, 20.021103]]"
8,,0,route 0's segment,[2],361.3964807015661,2,46,"[[110.294359, 20.021103], [110.294449, 20.021046], [110.295464, 20.021337], [110.297031, 20.021732], [110.297677, 20.021888086592178]]"
9,,0,route 0's segment,[2],242.37495428043843,46,44,"[[110.297677, 20.021888086592178], [110.297747, 20.021905], [110.298832, 20.022157], [110.299557, 20.022331], [110.299631, 20.022348], [110.29992554975485, 20.022424343084424]]"
10,,0,route 0's segment,[2],293.58616805155407,44,43,"[[110.29992554975485, 20.022424343084424], [110.300638, 20.022609], [110.301402, 20.022847], [110.301489, 20.022882], [110.30224, 20.023194], [110.30255950000004, 20.02332917307694]]"
11,,0,route 0's segment,[2],285.9616170732212,43,42,"[[110.30255950000004, 20.02332917307694], [110.302734, 20.023403], [110.303359, 20.023672], [110.304735, 20.024253], [110.304796, 20.02428], [110.30505180000007, 20.024392302439058]]"
12,,0,route 0's segment,[2],523.0269785067807,42,47,"[[110.30505180000007, 20.024392302439058], [110.305616, 20.02464], [110.305738, 20.024696], [110.306502, 20.025026], [110.307695, 20.025551], [110.308407, 20.025885], [110.308498, 20.025929], [110.309171, 20.02628], [110.30934, 20.026372], [110.30953220000005, 20.026484370899496]]"
13,,0,route 0's segment,[2],304.7938661034093,47,45,"[[110.30953220000005, 20.026484370899496], [110.309718, 20.026593], [110.310586, 20.027109], [110.311662, 20.027743], [110.31174, 20.027786], [110.31200230000003, 20.02794293792137]]"
14,,0,route 0's segment,[2],417.04868386560435,45,48,"[[110.31200230000003, 20.02794293792137], [110.312096, 20.027999], [110.312209, 20.028073], [110.312899, 20.028537], [110.313273, 20.028793], [110.31375, 20.029132], [110.313854, 20.029201], [110.314431, 20.029596], [110.314579, 20.029696], [110.315039, 20.030022], [110.315082, 20.030048], [110.31522914659693, 20.030150200000048]]"
15,,0,route 0's segment,[2],468.85293722252715,48,41,"[[110.31522914659693, 20.030150200000048], [110.315907, 20.030621], [110.316155, 20.030781], [110.316641, 20.031072], [110.317231, 20.031345], [110.317795, 20.031606], [110.318537, 20.031936], [110.318663, 20.032001], [110.319006, 20.032183], [110.31911140651316, 20.032242338558664]]"
16,,0,route 0's segment,[2],527.0970249200833,41,3,"[[110.31911140651316, 20.032242338558664], [110.319562, 20.032496], [110.319926, 20.032708], [110.320356, 20.032973], [110.321484, 20.033624], [110.322044, 20.033963], [110.322448, 20.034223], [110.322591, 20.034293], [110.323359, 20.034797]]"
17,,0,route 0's segment,[4],137.2885805189323,3,53,"[[110.323359, 20.034797], [110.323928, 20.035052], [110.324327, 20.035278], [110.32449590000006, 20.03540729070801]]"
18,,0,route 0's segment,[4],62.31609302624203,53,52,"[[110.32449590000006, 20.03540729070801], [110.324553, 20.035451], [110.324705, 20.035595], [110.324722, 20.035612], [110.32488484293951, 20.035828500000047]]"
19,,0,route 0's segment,[4],469.1272245745846,52,54,"[[110.32488484293951, 20.035828500000047], [110.324983, 20.035959], [110.325139, 20.036302], [110.32546, 20.03737], [110.325599, 20.037804], [110.325655, 20.037938], [110.32576, 20.038155], [110.325937, 20.038416], [110.326128, 20.038641], [110.326432, 20.038932], [110.32661, 20.039062], [110.326992, 20.039319], [110.32706495200006, 20.03936520000003]]"
20,,0,route 0's segment,[4],1091.1251750802428,54,50,"[[110.32706495200006, 20.03936520000003], [110.327821, 20.039844], [110.328199, 20.040074], [110.328477, 20.040217], [110.328819, 20.040365], [110.329206, 20.040486], [110.330152, 20.040638], [110.330816, 20.040738], [110.331645, 20.040842], [110.331984, 20.040898], [110.332665, 20.040981], [110.333277, 20.041098], [110.33362, 20.041202], [110.333837, 20.04128], [110.334323, 20.041502], [110.334844, 20.041814], [110.33526, 20.04207], [110.335369, 20.042135], [110.335885, 20.042461], [110.336306, 20.042756], [110.336385, 20.042804], [110.33659920291144, 20.042903847572266]]"
21,,0,route 0's segment,[4],938.4889823442315,50,56,"[[110.33659920291144, 20.042903847572266], [110.336636, 20.042921], [110.336892, 20.043003], [110.337148, 20.043051], [110.337578, 20.043134], [110.338772, 20.043329], [110.339206, 20.043398], [110.340091, 20.04355], [110.340499, 20.043633], [110.340846, 20.043702], [110.341046, 20.04375], [110.341385, 20.043841], [110.341628, 20.043928], [110.342396, 20.044201], [110.342739, 20.044301], [110.343568, 20.04451], [110.344167, 20.044661], [110.344753, 20.044809], [110.34523, 20.044913], [110.345303, 20.044926476923077]]"
22,,0,route 0's segment,[4],293.63027239706236,56,55,"[[110.345303, 20.044926476923077], [110.34549, 20.044961], [110.345868, 20.045004], [110.346402, 20.0451], [110.34668, 20.045148], [110.346819, 20.045169], [110.347231, 20.04526], [110.347891, 20.045412], [110.3480559275015, 20.045449589110458]]"
