start_ver,end_ver,distance,lambda,original_num,original_days,num,days,P_w,l_w,e_w,matching_probability,aver_final_distance,aver_shared_distance,P_w_err,l_w_err,e_w_err,P_w_err_ratio,e_w_err_ratio,l_w_err_ratio
596,84,561.0173525,0.003578431,73,29,37,21,0.81161035,643.3982591,459.393068,0.920634921,578.1950794,516.4946032,0.109024571,65.20317977,57.10153515,0.11842324,0.110555918,0.112770209
250,367,1475.505348,0.010147059,207,37,102,34,0.422386249,1623.975489,548.3450531,0.480042017,1546.408971,668.7539531,0.057655768,77.56651804,120.4088999,0.12010567,0.180049627,0.050159123
348,97,2195.451204,0.005392157,110,37,44,26,0.980677248,2424.828088,1743.022197,1,2369.998494,1803.915032,0.019322752,54.82959426,60.89283467,0.019322752,0.033755933,0.023134865
13,14,1399.467377,0.001862745,38,21,18,13,0.261878715,1468.19388,310.7225344,0.217948718,1399.47,305.0126923,0.043929997,68.72387983,5.70984206,0.201561163,0.018720015,0.049107076
219,16,647.6448582,0.004166667,85,34,41,26,0.947388545,660.4336552,619.3457495,0.91025641,647.64,589.5184615,0.037132135,12.79365517,29.82728796,0.04079305,0.05059602,0.01975427
80,224,1628.308822,0.021862745,446,39,226,39,0.822403627,1911.306905,1343.713537,0.880207755,1904.283935,1426.777717,0.057804129,7.022969862,83.06418092,0.065671006,0.058218025,0.003687985
335,367,1948.065828,0.024117647,492,39,250,39,0.91269543,2113.181314,1584.457816,0.947393063,2085.461601,1720.071741,0.034697633,27.71971354,135.6139259,0.036624327,0.078842017,0.013291884
313,33,2615.74601,0.010490196,214,39,113,35,0.972105709,2954.421985,1853.814546,0.985714286,2952.146943,1959.029443,0.013608577,2.275042073,105.2148966,0.013805803,0.053707665,0.00077064
10,582,2160.530822,0.014362745,293,39,149,39,0.972466114,2608.879408,1623.921198,0.979456654,2562.075027,1672.827648,0.00699054,46.80438114,48.90645058,0.007137161,0.029235798,0.018268154
9,3,1657.714711,0.004852941,99,37,51,29,0.88398676,2023.149387,1196.164877,0.885057471,1968.763362,1340.77319,0.001070711,54.38602471,144.6083122,0.001209764,0.107854418,0.02762446
348,196,533.4587804,0.004362745,89,36,43,26,0.855909064,673.7496298,474.7898554,0.987179487,577.1798718,531.6938462,0.131270424,96.56975796,56.90399077,0.132975234,0.107023979,0.167313108
313,302,1655.136837,0.014166667,289,39,156,38,0.995697154,1775.229123,1436.682945,1,1775.640232,1469.762715,0.004302846,0.411109515,33.0797701,0.004302846,0.022506878,0.000231527
10,528,2556.604578,0.003872549,79,32,39,24,0.930050334,2896.280868,1922.852033,0.916666667,2736.626799,2028.86359,0.013383667,159.6540695,106.0115573,0.014600364,0.052251693,0.05833973
314,471,1677.594839,0.028431373,580,39,294,39,0.96061924,1910.253124,1406.980254,0.969523995,1942.52952,1417.006646,0.008904755,32.27639611,10.02639131,0.009184667,0.007075755,0.016615653
314,48,1356.116846,0.020980392,428,39,216,39,0.980662276,1562.347276,1176.287262,0.985897436,1578.654267,1210.557402,0.00523516,16.30699083,34.27014045,0.005310045,0.028309389,0.010329678
224,105,3025.673612,0.014264706,291,39,156,39,0.831081463,3276.397079,1728.328525,0.862260887,3236.220831,1938.082941,0.031179424,40.17624784,209.7544166,0.036160082,0.108227781,0.012414557
674,27,2798.355573,0.013186275,269,39,146,37,0.510361506,2939.847808,1085.878018,0.643758044,2978.52219,1423.050679,0.133396538,38.67438241,337.1726611,0.207215333,0.23693651,0.01298442
682,224,528.3256497,0.00122549,25,20,20,17,0.950054439,528.5611974,502.0559024,0.970588235,528.33,512.7908824,0.020533797,0.231197378,10.73497995,0.021156033,0.02093442,0.0004376
313,224,3731.182646,0.014558824,297,39,157,37,0.973121726,4057.956505,2488.076756,0.965143715,3985.815781,2530.903339,0.007978011,72.1407242,42.82658292,0.008266138,0.016921461,0.018099362
236,596,2111.987932,0.008137255,166,37,76,31,0.58412098,2310.400391,793.092777,0.676267281,2345.04587,970.0255952,0.092146301,34.64547934,176.9328183,0.136257221,0.182400154,0.014773903
558,170,2862.065012,0.001715686,35,21,13,13,0.392893574,2987.555563,846.1747853,0.461538462,3109.89,1025.46,0.068644888,122.3344373,179.2852147,0.14873059,0.174833943,0.039337223
708,20,1888.371379,0.003823529,78,32,41,21,0.190137901,1955.339126,242.1926655,0.301587302,1963.449802,453.1260714,0.111449401,8.110675495,210.9334059,0.369542749,0.465507105,0.004130829
2,347,1792.533479,0.004019608,82,33,39,22,0.647334769,2267.814192,712.1618656,0.628787879,2121.327652,856.4128788,0.01854689,146.4865406,144.2510132,0.029496259,0.168436296,0.06905418
80,609,3901.252619,0.013872549,283,39,132,38,0.801627435,4294.537453,1531.504914,0.820833333,4245.86093,1689.461818,0.019205898,48.67652342,157.9569035,0.023398049,0.093495397,0.011464465
609,414,2265.622475,0.001029412,21,16,13,11,0.509795099,2543.412037,708.4601754,0.409090909,2685.24,512.7963636,0.10070419,141.8279629,195.6638117,0.246165798,0.381562401,0.052817611
582,230,950.2981942,0.008970588,183,38,89,35,0.970426889,1062.292225,921.6522362,0.93,1064.859143,884.5578333,0.040426889,2.566918061,37.0944029,0.043469773,0.041935532,0.002410571
586,529,2986.731046,0.001911765,39,24,24,18,0.308192264,3127.030226,424.7039035,0.287037037,3010.849167,442.8871296,0.021155227,116.181059,18.18322618,0.073702081,0.041056118,0.038587472
588,10,2583.137591,0.010245098,209,39,114,37,0.964934235,2817.030025,2088.151829,0.985585586,2754.396081,2174.824776,0.020651351,62.6339438,86.67294705,0.020953382,0.039852841,0.022739629
48,97,2559.241227,0.006176471,126,38,66,32,0.868157092,2885.292588,1522.549202,0.910416667,2710.78551,1881.880375,0.042259575,174.5070778,359.3311732,0.046417839,0.190942622,0.064375096
