passenger_id,real_start_date,real_start_time,start_time,end_time,OD_id,start_ver,end_ver,orginal_start_ver,orginal_end_ver,original_distance,final_distance,matching_or,shared_distance,detour,gap,matching_id,matching_type,matching_ver,
5,2017-07-01,2017-07-01 00:00,0.0,5.5,611,313,123,313,104,1734.41,1734.41,1,1090.09,0.00,644.31,14,1,313,
11,2017-07-01,2017-07-01 00:00,0.0,5.7,499,26,243,275,243,1854.33,1854.33,1,1854.33,0.00,0.00,1,0,26,
77,2017-07-01,2017-07-01 00:03,3.0,7.2,317,582,123,327,301,1087.59,1087.59,1,1087.59,0.00,0.00,22,0,582,
68,2017-07-01,2017-07-01 00:03,3.0,10.1,183,9,105,213,105,1372.62,1372.62,1,1372.62,0.00,926.95,66,0,9,
47,2017-07-01,2017-07-01 00:02,2.0,10.2,4052,331,121,331,121,2116.16,2116.16,1,2116.16,0.00,0.00,53,1,331,
31,2017-07-01,2017-07-01 00:01,1.0,10.3,1702,48,230,41,211,2138.79,2138.79,1,1142.84,-0.00,995.95,83,1,48,
37,2017-07-01,2017-07-01 00:01,1.0,10.5,635,310,80,113,343,2734.18,2734.18,1,1807.23,-0.00,926.95,65,1,310,
6,2017-07-01,2017-07-01 00:00,0.0,10.6,1583,3,10,422,10,2322.45,2322.45,1,2322.45,0.00,995.95,0,0,3,
27,2017-07-01,2017-07-01 00:01,1.0,10.9,2996,497,158,497,158,1955.04,1955.04,0,,,,,,,
111,2017-07-01,2017-07-01 00:05,5.0,11.5,5211,130,141,643,135,1454.33,1454.33,1,1454.33,0.00,543.20,64,0,130,
8,2017-07-01,2017-07-01 00:00,0.0,11.6,1806,380,85,378,85,1775.90,2275.99,1,862.22,500.09,498.89,155,2,343,
38,2017-07-01,2017-07-01 00:01,1.0,11.9,2866,331,528,331,612,1521.72,2426.02,1,965.11,904.30,1460.91,99,1,331,
65,2017-07-01,2017-07-01 00:02,2.0,12.2,2323,9,77,213,86,2415.79,2415.79,1,1807.23,-0.00,926.95,37,0,9,
80,2017-07-01,2017-07-01 00:03,3.0,12.2,93,582,105,327,541,2843.91,2843.91,1,2843.91,0.00,0.00,41,0,582,
18,2017-07-01,2017-07-01 00:00,0.0,12.2,13203,609,264,645,18,2863.82,2863.82,0,,,,,,,
193,2017-07-01,2017-07-01 00:08,8.0,12.5,3952,33,95,33,303,989.87,989.87,1,989.87,0.00,0.00,220,1,33,
7,2017-07-01,2017-07-01 00:00,0.0,12.6,805,529,353,529,353,2397.67,3785.64,1,3091.65,1387.97,693.98,30,1,529,
61,2017-07-01,2017-07-01 00:02,2.0,12.6,4933,95,313,95,316,2057.27,2057.27,0,,,,,,,
95,2017-07-01,2017-07-01 00:04,4.0,12.7,2694,236,532,236,132,1610.41,1610.41,0,,,,,,,
181,2017-07-01,2017-07-01 00:07,7.0,13.1,6705,663,674,672,671,1109.21,1109.21,1,1109.21,0.00,674.68,170,0,663,
117,2017-07-01,2017-07-01 00:05,5.0,13.1,724,123,224,123,675,2537.01,2537.01,1,1802.53,0.00,734.49,133,1,123,
134,2017-07-01,2017-07-01 00:05,5.0,13.2,11,473,314,473,314,2368.13,2368.13,1,2368.13,0.00,0.00,109,0,473,
112,2017-07-01,2017-07-01 00:05,5.0,13.3,755,313,95,583,95,2019.32,2019.32,1,2019.32,0.00,644.31,86,0,313,
101,2017-07-01,2017-07-01 00:04,4.0,13.4,565,311,123,311,123,2203.29,2203.29,1,2203.29,0.00,0.00,146,1,311,
108,2017-07-01,2017-07-01 00:04,4.0,13.4,153,473,48,477,41,2162.83,2162.83,1,2162.83,0.00,218.28,10,0,473,
138,2017-07-01,2017-07-01 00:06,6.0,13.5,18433,164,22,159,22,2024.07,2024.07,0,,,,,,,
97,2017-07-01,2017-07-01 00:04,4.0,13.9,15214,668,145,668,145,1930.11,1930.11,0,,,,,,,
100,2017-07-01,2017-07-01 00:04,4.0,13.9,313,230,105,229,318,1933.61,1933.61,1,1372.62,0.00,0.00,209,2,9,
13,2017-07-01,2017-07-01 00:00,0.0,14.1,695,586,80,598,382,3536.08,3536.08,0,,,,,,,
67,2017-07-01,2017-07-01 00:03,3.0,14.1,1562,274,353,281,353,1723.81,2305.01,1,995.30,581.19,709.41,205,2,503,
